participant,list,rep,trial,phase,jitter,max_alpha,condition,flip,alpha,vbl_expected,vbl_realized,missed
5,1,1,2,noise,11,1,Not Studied,24,0.325,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,25,0.35,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,26,0.375,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,27,0.4,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,28,0.425,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,29,0.45,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,30,0.475,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,31,0.5,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,32,0.525,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,33,0.55,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,34,0.575,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,35,0.6,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,36,0.625,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,37,0.65,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,38,0.675,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,39,0.7,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,40,0.725,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,41,0.75,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,42,0.775,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,43,0.8,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,44,0.825,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,45,0.85,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,46,0.875,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,47,0.9,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,48,0.925,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,49,0.95,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,50,0.975,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,51,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,52,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,53,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,54,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,55,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,56,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,57,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,58,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,59,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,60,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,61,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,62,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,63,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,64,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,65,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,66,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,67,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,68,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,69,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,70,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,71,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,72,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,73,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,74,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,75,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,76,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,77,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,78,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,79,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,80,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,81,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,82,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,83,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,84,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,85,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,86,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,87,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,88,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,89,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,90,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,91,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,92,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,93,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,94,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,95,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,96,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,97,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,98,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,99,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,100,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,101,1,NaN,NaN,NaN
5,1,1,2,noise,11,1,Not Studied,102,1,NaN,NaN,NaN
5,1,2,2,noise,11,1,Not Studied,1,0,1134720.48762405,1134720.48762405,0.00401650788262486
5,1,2,2,noise,11,1,Not Studied,2,0,1134720.58263389,1134720.50763849,0.00953510450199246
5,1,2,2,noise,11,1,Not Studied,3,0,1134720.67764373,1134720.58768539,-0.000294678844511509
5,1,2,2,noise,11,1,Not Studied,4,0,1134720.77265357,1134720.68774642,-0.000241179717704654
5,1,2,2,noise,11,1,Not Studied,5,0,1134720.86766341,1134720.77816773,9.94158908724785e-05
5,1,2,2,noise,11,1,Not Studied,6,0,1134720.96267325,1134720.87817775,0.0096881277859211
5,1,2,2,noise,11,1,Not Studied,7,0,1134721.05768309,1134720.96822749,-0.000272155273705721
5,1,2,2,noise,11,1,Not Studied,8,0,1134721.15269293,1134721.06829667,0.00974728958681226
5,1,2,2,noise,11,1,Not Studied,9,0,1134721.24770277,1134721.15833916,-0.000279399566352367
5,1,2,2,noise,11,1,Not Studied,10,0,1134721.34271261,1134721.25838329,0.00972223631106317
5,1,2,2,noise,11,1,Not Studied,11,0,1134721.43772245,1134721.34848978,-0.000215408392250538
5,1,2,2,noise,11,1,Not Studied,12,0.025,1134721.53273229,1134721.44850825,0.00969657953828573
5,1,2,2,noise,11,1,Not Studied,13,0.05,1134721.62774213,1134721.53855527,-0.000274871941655874
5,1,2,2,noise,11,1,Not Studied,14,0.075,1134721.72275197,1134721.63860001,0.00972284027375281
5,1,2,2,noise,11,1,Not Studied,15,0.1,1134721.81776181,1134721.72867208,-0.000249818898737431
5,1,2,2,noise,11,1,Not Studied,16,0.125,1134721.91277165,1134721.81836745,-0.000626521417871118
5,1,2,2,noise,11,1,Not Studied,17,0.15,1134722.00778149,1134721.91876142,9.17552970349789e-05
5,1,2,2,noise,11,1,Not Studied,18,0.175,1134722.10279133,1134722.00882746,-0.000255855498835444
5,1,2,2,noise,11,1,Not Studied,19,0.2,1134722.19780117,1134722.10888789,-0.000241783680394292
5,1,2,2,noise,11,1,Not Studied,20,0.225,1134722.29281101,1134722.19893672,-0.000273060752078891
5,1,2,2,noise,11,1,Not Studied,21,0.25,1134722.38782085,1134722.29899926,-0.000239670509472489
5,1,2,2,noise,11,1,Not Studied,22,0.275,1134722.48283069,1134722.38904779,-0.00027336273342371
5,1,2,2,noise,11,1,Not Studied,23,0.3,1134722.57784053,1134722.48909524,-0.000254762824624777
5,1,2,2,noise,11,1,Not Studied,24,0.325,1134722.67285037,1134722.57917366,-0.000243480084463954
5,1,2,2,noise,11,1,Not Studied,25,0.35,1134722.76786021,1134722.6792036,-0.000272269826382399
